id_municipio,id_municipio_nome,id_estacao,estacao,data_fundacao,latitude,longitude,altitude
4103909,Campina da Lagoa,B803,Campina Da Lagoa,2016-08-04,-24.57083332,-52.80027777,598.0
4113304,Laranjeiras do Sul,B804,Laranjeiras Do Sul,2016-08-07,-25.36888888,-52.39194444,835.0
4105805,Colombo,B806,Colombo,2016-06-01,-25.322464,-49.157733,950.0
4314902,Porto Alegre,A801,Porto Alegre,2000-09-22,-30.05361111,-51.17472221,41.18
4315602,Rio Grande,A802,Rio Grande,2001-11-16,-32.07888888,-52.16777777,4.92
4316907,Santa Maria,A803,Santa Maria,2001-11-26,-29.72499999,-53.72055554,103.1
4317103,Sant'Ana do Livramento,A804,Santana Do Livramento,2001-11-22,-30.75055555,-55.40138888,196.0
4317806,Santo Augusto,A805,Santo Augusto,2001-12-05,-27.854345,-53.791179,489.67
4321501,Torres,A808,Torres,2006-06-01,-29.35027777,-49.73333333,8.44
4322400,Uruguaiana,A809,Uruguaiana,2006-09-28,-29.83987,-57.081899,74.29
4317202,Santa Rosa,A810,Santa Rosa,2006-11-15,-27.890463,-54.480014,272.84
4304507,Canguçu,A811,Cangucu,2007-01-24,-31.40333333,-52.70083333,446.81
4302808,Caçapava do Sul,A812,Cacapava Do Sul,2006-06-22,-30.54527777,-53.46694443,420.82
4315701,Rio Pardo,A813,Rio Pardo,2006-09-30,-29.87222221,-52.38194443,106.99
4300406,Alegrete,A826,Alegrete,2006-09-28,-29.709083,-55.525486,120.88
4301602,Bagé,A827,Bage,2007-01-04,-31.34777777,-54.01333333,226.19
4307005,Erechim,A828,Erechim,2006-11-25,-27.65771,-52.305805,777.08
4318622,São José dos Ausentes,A829,Sao Jose Dos Ausentes,2006-10-26,-28.748615,-50.057869,1228.59
4318002,São Borja,A830,Sao Borja,2007-07-21,-28.65,-56.01638888,81.08
